insurer_name,insuredname,insuredCity,insuredstate,insuredpostalCode,natureOfincident,dateOfloss,injuryinvolved,loss_description,location_of_loss,claimNumber,vehicle_damages_1,vehicle_damages_2,injury_description,lawsuit_filed,providers_alternative_medicine,providers_alternative_medicine_tax_id,providers_alternative_medicine_payment,providers_chiropractor,providers_chiropractor_tax_id,providers_chiropractor_payment,providers_diagnostic_radiologist,providers_diagnostic_radiologist_tax_id,providers_diagnostic_radiologist_payment,providers_ER physician,providers_ER physician_tax_id,providers_ER physician_payment,providers_general_practitioner,providers_general_practitioner_tax_id,providers_general_practitioner_payment,providers_neurologist,providers_neurologist_tax_id,providers_neurologist_payment,providers_orthopedist,providers_orthopedist_tax_id,providers_orthopedist_payment,providers_physical_therapist,providers_physical_therapist_tax_id,providers_physical_therapist_payment,total_claimed_losses,total_insurance_payment
Geico,Larry Robinson,Romanview,MI,90037,Collision,2022-01-29,Yes,Do you life best green whether machine war daughter.,"0637 Anthony Extensions, New Courtneyton, TN 09016",731b9f90,Fender damage,Windshield crack,Shoulder injury,Yes,,,0.0,"Green, Figueroa and Allison",60-0125618,4861.69,Herring-Robertson,90-0936371,4045.32,Jarvis Group,45-0400310,1710.15,,,0.0,"Martinez, Dennis and Garrett",75-3314765,2374.58,"Lara, Young and Short",80-7174770,4100.66,"Brown, Armstrong and Rowland",99-5300201,2971.81,23056.38,17829.97
Geico,Teresa Mitchell,Rasmussentown,IL,80095,Hit and run,2023-05-28,Yes,This state billion establish prevent candidate blood.,"584 Thomas Ridge Suite 258, Masonstad, MO 86518",cd87ca12,Side impact,,Fracture,Yes,Smith PLC,48-0591908,1889.2,,,0.0,Stark-Roberts,83-4296399,2600.55,"Taylor, Gray and Jones",87-1014532,2772.76,"Reese, Silva and Roberts",63-6136678,1322.4,"Gamble, Solis and Davis",86-8421409,2605.82,Schultz-Ayers,37-6604785,1172.1,Underwood-Turner,91-3263840,2108.61,19928.98,11918.54
Geico,Colleen Brown,South Mitchellfurt,NY,07233,Rear-end collision,2022-09-10,Yes,Finish daughter development determine research power cell friend.,"Unit 8569 Box 8934, DPO AA 96550",10574886,Rear-end collision,Windshield crack,Minor cuts,Yes,,,0.0,,,0.0,Moody-Villarreal,32-9582895,2746.53,"Long, Riley and Ruiz",93-6704027,2537.93,Williams Group,84-2114088,2036.97,,,0.0,Ross-Hill,37-4073442,3333.86,Schwartz Inc,14-4827590,3386.12,16006.98,8117.94
Geico,Michael White,Port Sabrina,TX,42535,Rear-end collision,2021-11-03,No,Include stay movie beyond prove get wife authority here one behavior section.,"62065 Debbie Bypass, Gomezview, VA 88853",ee67c339,Front-end collision,,,No,,,0.0,,,0.0,"Chavez, Smith and Robinson",40-8840039,1065.0,Snyder PLC,16-8853001,2541.96,"Davis, Cherry and Griffith",05-4787661,1509.76,,,0.0,,,0.0,,,0.0,13164.6,9252.92
Geico,Ashley Hansen,Port Patrickville,NC,15951,Rear-end collision,2023-11-04,Yes,Threat grow meet customer she method condition gas say expect recently.,"872 Brown Gateway, West Justin, OK 67337",1f2dcb20,Side impact,,Fracture,No,,,0.0,Davis Inc,92-6526098,2049.12,"Lowe, Smith and Ross",63-3992579,2797.45,Kelly-James,84-4500506,4672.77,Mcdaniel-Lewis,46-4557994,4606.46,Moreno-Mcbride,47-5022055,122.04,,,0.0,,,0.0,19157.74,16463.91
Allstate,Robert Gamble,Lake Jennifer,IL,62313,Hit and run,2023-08-25,Yes,Be hot teach pull game standard.,"9942 Rodriguez Junctions, West Audrey, TX 17051",afeae992,Front-end collision,,Shoulder injury,Yes,,,0.0,Houston Ltd,95-8282871,2448.39,Harvey-Faulkner,42-2281768,2296.72,,,0.0,,,0.0,,,0.0,"Dunlap, Miller and Perry",81-6594191,3895.93,"Henderson, Hobbs and Williams",61-9920443,2353.56,12355.96,11576.68
Allstate,Abigail Patrick,Sawyerton,NY,94127,Hit and run,2025-07-05,Yes,Fall certainly season gun must agree foreign current.,"Unit 0281 Box 7974, DPO AP 24721",4f6c3086,Front-end collision,Fender damage,Minor cuts,No,,,0.0,,,0.0,Moore Ltd,32-3307833,2278.53,,,0.0,,,0.0,"Warren, Mckinney and Boone",65-5820093,4650.28,"Coleman, Riley and Duarte",11-9544691,3467.2,,,0.0,18184.92,13236.04
Geico,Daniel Barnes,Karenside,CA,44147,Hit and run,2024-06-10,Yes,Third wall newspaper high only international suddenly probably sort night PM future improve film.,"238 Kathryn Plain Suite 920, East Kevin, CA 97728",c4f0a873,Rear-end collision,Front-end collision,Fracture,Yes,"Michael, Skinner and Smith",02-5827882,3033.16,,,0.0,Williams-Cook,39-4715080,2583.52,"Shaw, Perkins and Burton",51-9771614,3596.99,"Hamilton, Roberts and Mercer",06-1679577,2795.89,Pena-Thompson,88-8053088,2134.74,,,0.0,Arellano Ltd,62-0117807,199.56,21797.06,14053.14
Geico,Brett Hanson,East Shelly,GA,23711,Hit and run,2020-11-04,No,Mrs use project so any institution chance until want instead maintain.,"USCGC Hall, FPO AA 99314",179cfccb,Rear-end collision,Windshield crack,,No,,,0.0,Fields-Hale,27-4539841,4227.5,,,0.0,,,0.0,,,0.0,"Miller, Green and Riggs",59-1692853,4758.04,,,0.0,Berry-Mitchell,72-0688796,1099.69,17862.48,14365.38
Allstate,Michael Davidson,New Daniel,PA,99712,Rear-end collision,2021-01-24,No,Opportunity fill year one physical dog impact science race.,"34167 Derrick Cliff, Michaelfort, DE 19818",30ed85e1,Side impact,,,Yes,,,0.0,Le-Vang,52-9159096,2346.36,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,4708.28,2728.02
Geico,William Flores,New Brian,CA,03334,Rear-end collision,2021-02-28,No,Summer act body outside former away.,"344 Allen Ridge Apt. 304, Lake Amy, MO 00937",028e0480,Fender damage,,,Yes,,,0.0,"Chapman, Matthews and Griffin",42-7743292,1011.34,Rodriguez-Anderson,91-8723027,235.82,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,9428.11,5268.9
Geico,Robert Norris,Williamsstad,OH,37253,Single vehicle accident,2025-05-10,Yes,Will per reach central recent own.,"451 Lopez Drive Suite 424, Port Timothy, AR 11890",7cfdd404,Windshield crack,,Fracture,Yes,Hardy PLC,84-6368553,4914.89,Guerra Inc,35-9087095,3660.31,"Gray, Lutz and Schmidt",30-3709800,3731.65,Potts and Sons,14-6746816,3972.57,Mcmillan-Miller,80-3889800,4605.33,Jones Ltd,87-1222739,2747.32,,,0.0,,,0.0,33253.13,30390.74
Allstate,Katelyn Rivera,Dianachester,FL,31021,Rear-end collision,2024-01-04,Yes,Age suggest ten ready top sing.,"7413 Dyer Village Suite 742, West Wayne, AS 67720",163e3e77,Front-end collision,,Knee injury,No,Spencer PLC,90-7381968,2273.65,,,0.0,,,0.0,,,0.0,"Collins, Brown and Benton",24-4587198,4007.93,Russell-Kirk,53-9695845,3422.72,,,0.0,Estes Inc,16-5397130,4419.87,19548.99,11366.91
Allstate,Stacie Graham,Port Josephfort,NY,70142,Collision,2022-03-01,No,Lot performance stock agency day east face claim since talk another manage.,"121 Proctor Centers Apt. 213, Port Albertstad, UT 42084",22808d07,Rear-end collision,,,Yes,,,0.0,"Jones, Palmer and Flores",51-7456623,583.61,Smith-Armstrong,76-6291569,1044.27,,,0.0,,,0.0,Soto PLC,55-1992161,4543.19,"Wood, Choi and Medina",22-9162647,2324.82,Marquez Group,39-4137018,121.15,13016.34,12157.07
Geico,Nicole Mcmillan,West Gregton,FL,07170,Collision,2024-10-26,Yes,Worker series yard successful south development many hour.,"862 Richardson Mall Apt. 184, New Jenniferton, AZ 17322",ec5ad7ed,Rear-end collision,Fender damage,Bruises,Yes,,,0.0,Cain-Butler,43-2874959,1390.66,,,0.0,Moore-Martin,67-0733119,2615.38,"Golden, Taylor and Nelson",13-2208608,1213.24,"Mccullough, Church and Perez",56-4787679,160.62,Lee-Brandt,30-3811126,189.82,,,0.0,7513.92,6250.09
Allstate,James Escobar,Port Paulafurt,IL,03868,Rear-end collision,2022-12-15,Yes,Election themselves parent role seven must difference name trial inside field those.,"PSC 7254, Box 3322, APO AE 26350",0868a33f,Fender damage,,Disk injury,No,,,0.0,Cooper and Sons,34-8073319,2747.92,Smith LLC,46-6985720,880.78,Harris PLC,72-7919806,3209.12,"Clark, Williams and Arnold",74-2113223,3732.58,,,0.0,,,0.0,Walsh LLC,57-6218456,3599.72,16586.03,14249.97
Geico,Christina Massey,East Kevinchester,IL,17384,Collision,2023-01-25,No,Quite environmental realize image animal college possible left employee.,"71228 Hardin Club, North Justin, AR 61734",27253798,Windshield crack,,,No,Carroll-Martin,54-0586217,859.74,Butler Group,91-8279532,1589.47,,,0.0,,,0.0,,,0.0,"Harris, Jones and Bell",81-9374528,1212.89,,,0.0,"Mitchell, Matthews and Morris",31-8023065,1485.3,7627.26,7185.43
Geico,Daniel Campbell,Lewischester,FL,67161,Hit and run,2020-11-21,No,Various indeed issue minute medical sense serve opportunity get more from onto.,"00766 Craig Run Apt. 416, Christopherbury, WA 95000",94b70479,Side impact,,,Yes,,,0.0,Mathis and Sons,93-1099655,3921.61,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,5107.05,2672.21
Allstate,Ashley Perez,South Laurenstad,FL,06713,Single vehicle accident,2021-09-12,Yes,Worry lose leave speech generation use tonight hold determine hospital hold interest play.,"596 Nathan Stream Suite 132, Markfurt, IA 63845",cd88c604,Side impact,,Bruises,No,"Martinez, Figueroa and Weiss",50-0587421,2324.04,"Henderson, Martin and Valdez",15-6588347,3659.86,,,0.0,Cervantes-Young,62-1109693,4304.26,,,0.0,,,0.0,"Beasley, Perry and Simpson",77-7904269,466.73,,,0.0,18951.38,11659.16
Geico,Elizabeth Hurst,Port Rebeccastad,GA,73967,Collision,2025-02-05,Yes,Bank forget would option name opportunity.,"27870 Hughes Run, Benjaminton, TX 26460",c694b648,Front-end collision,Windshield crack,Shoulder injury,Yes,West LLC,88-8359685,1678.95,,,0.0,Sanchez-Peterson,40-2132643,2150.33,Baker-Johnson,21-5405503,3107.3,,,0.0,,,0.0,"Glover, Garza and Walker",87-2433045,3574.55,"James, Roman and Mcdonald",39-2380139,3678.1,20048.32,18115.59
StateFarm,Robert Cherry,Crossburgh,GA,91039,Collision,2024-08-12,Yes,Those reflect type black network career station treatment task time.,"20985 Wilson Brooks, Gabrielleburgh, SD 29150",68f85623,Windshield crack,Front-end collision,Knee injury,No,Bentley Inc,42-4579875,773.65,"Ortega, Garner and Hawkins",31-4692157,2007.41,"Foster, Freeman and Conway",76-0932388,729.72,,,0.0,,,0.0,,,0.0,Molina-Hansen,68-2309379,1230.13,,,0.0,5456.96,2969.01
Allstate,Michael Collins,Port Carrie,IL,94605,Hit and run,2021-05-15,No,Option particularly record as cold rock police catch wait.,"01958 Mary Lock Apt. 641, Lake David, MP 20880",30b7c35b,Fender damage,Windshield crack,,Yes,,,0.0,Dominguez Ltd,98-8601994,2316.93,"Mejia, Jimenez and Thompson",04-4245625,3139.53,"Robinson, Gonzalez and Ellis",98-7269449,4733.12,,,0.0,,,0.0,Hernandez-Thomas,27-7200657,1351.64,Smith-Avery,99-9717663,950.07,16615.82,13461.88
Allstate,Jason Carter,Roberthaven,IL,53231,Rear-end collision,2022-12-03,Yes,Wife concern any little gun listen perhaps age force next rate concern senior.,"58396 Teresa Lights Suite 818, North Theresa, TN 46396",46331707,Front-end collision,,Shoulder injury,Yes,Taylor-Kirk,83-0130720,768.68,"Jones, Williams and Daniels",60-4486523,4253.56,,,0.0,,,0.0,Garcia Inc,22-7899530,650.6,Bowman Ltd,26-4095489,2427.66,,,0.0,Bishop-Flowers,13-6619132,1551.3,17363.57,11949.47
StateFarm,Sarah Thompson,Lewisberg,NY,88715,Collision,2022-02-23,No,Police over pull air baby whose mouth effort continue himself paper.,"220 Steve Bypass Suite 246, New Bradleybury, ND 53375",620f2b6a,Front-end collision,,,Yes,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,Campbell-Zimmerman,66-0534258,4104.72,,,0.0,8351.63,4336.34
Geico,Justin Schmidt,Lake Robert,GA,03358,Collision,2025-07-19,Yes,Cover forward book seven sometimes arm would who agreement project next.,"559 Wendy Locks Apt. 104, South Franktown, TX 02892",8f94a3eb,Windshield crack,Rear-end collision,Minor cuts,No,Martin-Garrison,20-7091531,4567.12,Palmer and Sons,03-2668534,823.39,Wheeler-Turner,95-4528963,1242.78,Olson and Sons,52-4603945,2621.24,,,0.0,Rice PLC,37-2264360,3211.37,"Greene, Porter and Snyder",67-8509040,1562.99,"Russo, Fields and Hernandez",99-4451286,4361.05,19463.44,17301.33
Allstate,Jordan Blevins,North Haileymouth,OH,62194,Rear-end collision,2021-12-24,Yes,Good kind effect meeting voice language me option ask beyond.,"6667 Wallace Crossing Suite 405, Lake Gregorymouth, IL 60745",06ba9901,Windshield crack,,Fracture,No,,,0.0,,,0.0,,,0.0,Palmer Inc,72-2986260,4732.14,,,0.0,,,0.0,Hopkins Group,85-6185884,4658.21,"Castro, Ayala and Wood",91-7599022,4590.13,15481.49,8854.74
Allstate,Francisco Salas,Port Andrew,NY,30900,Collision,2023-01-23,Yes,Spend interest change body stop evidence usually.,"08051 Hernandez Vista Apt. 173, Smithville, KY 05778",6e539aeb,Rear-end collision,Windshield crack,Other sprain/strain,Yes,,,0.0,Jones-Williams,53-7109589,891.47,Brooks-Estes,43-0538448,354.07,,,0.0,,,0.0,"Nguyen, Strickland and Patton",05-7863370,337.91,,,0.0,"Deleon, Park and Mcneil",41-1280527,369.59,7163.15,6122.01
StateFarm,Jeffrey Smith,Gibbsville,OH,65104,Collision,2021-05-24,No,Debate audience two space together anything some if teacher project detail whom.,"650 James Fort, East Debrabury, MA 25337",79783c9d,Windshield crack,Fender damage,,No,Pham-Ward,77-0108337,138.44,Gates-Mckinney,91-3545301,3926.21,Sullivan-Knight,13-5240071,1523.24,,,0.0,"Ortega, Huff and Robinson",30-1685571,4782.95,Chen-Middleton,24-4895058,4538.17,,,0.0,,,0.0,18833.32,17622.6
Allstate,Jennifer Clark,South Alyssafurt,NY,77844,Rear-end collision,2024-01-31,Yes,Real authority risk customer interview along road woman federal city.,"3396 Carol Dam, Lake Sara, NM 89458",b111a8bf,Front-end collision,Rear-end collision,Disk injury,Yes,Preston Group,12-2793622,280.02,,,0.0,,,0.0,,,0.0,,,0.0,"Singh, Gibson and Smith",37-3959457,3277.08,,,0.0,Knapp-Daugherty,52-3408292,4294.32,14506.54,8837.95
Geico,Kimberly Matthews,Port Samuelchester,TX,57941,Collision,2025-01-02,No,Before coach Republican join war protect result involve little entire toward police challenge.,"8401 Eric Highway, South Christopherside, TN 97038",59f6ac1d,Front-end collision,,,No,,,0.0,Reid-Perez,55-2087656,1880.66,Chaney Group,84-6862560,158.47,Middleton-Sosa,36-0380044,225.74,,,0.0,,,0.0,"Murray, Hawkins and Sanders",03-0207088,4313.74,,,0.0,10811.77,6480.51
Allstate,Richard Davenport,Hopkinsshire,OH,62655,Collision,2023-04-09,No,Treatment democratic strategy across too case attorney wide give quality find class time.,"19858 Sanchez Meadows Suite 968, West Andrew, GA 51410",251c3667,Fender damage,Rear-end collision,,No,Lambert-Garcia,34-4014902,4206.8,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,"Carlson, Fuller and Warren",64-5588117,1737.84,,,0.0,9593.92,7074.74
Geico,Jason Reese,West William,PA,70947,Hit and run,2025-08-17,No,Mouth network two account one war.,"77801 Lambert Grove, North Molly, MA 46148",7823b6c7,Side impact,,,No,"Price, Smith and Thomas",32-2741179,3111.69,Dunn-Rice,57-0138763,3610.51,Sanchez PLC,37-8841773,4866.74,,,0.0,Armstrong-Arnold,63-9708926,2736.43,,,0.0,Jones-Charles,60-2493152,3295.67,,,0.0,26200.24,14989.78
Allstate,Amanda Hernandez,Donaldstad,FL,20672,Rear-end collision,2023-07-07,No,Public huge letter indicate report table face weight.,"2353 Patricia Keys, West Donald, NJ 04300",5948ab23,Fender damage,Side impact,,No,Aguilar-Miller,43-9421024,2565.25,"Young, Cole and Ferrell",42-8516657,3852.66,Hall-Hayes,44-3666086,394.79,"Skinner, Mathews and Marsh",88-0328999,2505.42,,,0.0,,,0.0,Avery-Mcneil,61-4850787,1166.9,"Townsend, Estrada and Barber",33-7102667,1448.34,21256.2,11313.59
StateFarm,Larry Bass,Port Jasonborough,NY,98882,Single vehicle accident,2021-04-28,Yes,Later word affect good myself movie.,"3123 Perez Road Suite 149, Rothside, NC 02271",30a0657e,Front-end collision,Windshield crack,Other sprain/strain,No,,,0.0,Stewart-Schultz,42-3331919,1792.21,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,7659.23,6051.53
Geico,Brandon Lowe,Sheltonshire,IL,54081,Hit and run,2024-09-21,No,Month left baby professor consumer law hundred sound fear man outside dog table.,"89521 Samantha Courts Suite 116, Jenniferburgh, FL 24378",7922e6b3,Windshield crack,,,Yes,Gordon LLC,23-6611194,1210.84,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,10403.46,5458.84
StateFarm,Mario Mack,Port Richard,GA,52431,Single vehicle accident,2024-02-12,Yes,Message soon answer serious area military and war too onto strategy some.,"608 Brown Ridges, Robertstad, CA 45914",01c096b5,Front-end collision,Fender damage,Shoulder injury,Yes,,,0.0,Camacho Group,42-7407829,731.26,,,0.0,,,0.0,Jackson Ltd,34-8415032,2780.58,Haas PLC,57-9283799,1464.69,Rodriguez and Sons,71-2873693,622.59,"Carter, Carlson and Smith",16-8873318,4805.49,19531.95,10837.26
Allstate,Jeffrey Lewis,East Anita,TX,16057,Rear-end collision,2020-11-05,No,Plan believe assume talk cold information hard before just couple.,"6093 Alice Springs Apt. 239, Bushberg, KS 09374",3b70b42b,Front-end collision,,,No,,,0.0,,,0.0,"Gray, Brown and Dean",22-4298637,3636.6,,,0.0,,,0.0,,,0.0,,,0.0,"Shah, Young and Fernandez",61-2215862,136.74,11644.26,6791.36
Geico,Mark Brown,South Aimee,IL,80336,Hit and run,2022-12-25,No,Energy herself production arm professor south stock in relate sign position.,"17703 Curtis Ridge Suite 828, Port Courtneyhaven, VI 02196",d1b38fd0,Rear-end collision,,,Yes,Johnson Group,45-3323123,304.81,,,0.0,Washington-Macdonald,95-2571914,3750.3,,,0.0,"Choi, Hicks and Smith",90-4220596,2701.85,Lee PLC,93-5182517,3082.07,"Lee, Carter and Moore",99-9450773,1633.46,"Kane, Ferguson and Nelson",57-7980092,182.78,20197.75,17842.19
StateFarm,Leslie Jimenez,South Cheryl,NY,44179,Rear-end collision,2023-05-25,No,Beat part assume provide itself music west small house capital democratic listen choice.,"9541 Myers Summit Apt. 186, Roweville, NE 21065",624cd2bf,Windshield crack,Rear-end collision,,No,,,0.0,Molina-Porter,99-7644499,3067.86,,,0.0,,,0.0,Oconnell-Mason,33-3711873,3344.28,,,0.0,"Mathews, Mcmahon and Dunn",85-5256819,2259.06,,,0.0,16882.33,11964.22
Allstate,Stephanie Brown,Josephville,MI,63636,Hit and run,2023-10-24,Yes,Identify goal happy push garden take service money marriage task public style.,"7042 Martinez Greens, Port Janet, NV 73988",c9ed294e,Fender damage,Front-end collision,Bruises,Yes,Adams-Gordon,36-7323072,1069.74,"Christian, Martin and Peters",30-9315068,3654.02,,,0.0,Mitchell PLC,91-0878255,2409.15,,,0.0,Hunt-White,04-1139771,2859.64,,,0.0,Schneider-Gilbert,73-3646993,1102.6,17868.42,10182.98
StateFarm,Darlene Ray,North Randallstad,OH,62399,Single vehicle accident,2022-10-19,Yes,Year consumer respond concern view good.,"292 David Coves Suite 881, Rebeccamouth, NH 08119",a9fd99e4,Side impact,Front-end collision,Bruises,Yes,,,0.0,Davis-Shepherd,58-6520563,3543.71,"Green, Thomas and Shaw",25-1725014,2922.99,Miller-Price,87-9574524,2874.7,Hart-Lang,03-0461243,2873.69,,,0.0,,,0.0,,,0.0,19126.45,16889.8
StateFarm,Joseph Thomas,Lopezfort,CA,71843,Hit and run,2021-10-14,No,On room card their both movie show.,"1379 Matthew Stravenue Apt. 574, Jasonchester, NJ 70761",5503d7e2,Rear-end collision,Side impact,,No,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,Hall-Anderson,56-1774489,2293.07,,,0.0,Lara-Dunn,87-2680139,4144.02,9232.08,6858.31
Allstate,Rebecca Griffin,South Angelaland,NY,82906,Hit and run,2024-12-11,No,Approach level state kid organization our throw physical.,"1811 Freeman Views, East Nicole, MT 48039",30021fb0,Rear-end collision,,,Yes,Petersen-Hardin,36-4969683,611.83,Moore-Adams,24-8391337,1826.95,,,0.0,"Perkins, Sanders and Parker",06-7786000,3555.76,"Adams, Ortega and Salinas",57-7526917,2279.34,,,0.0,Lee LLC,23-5825123,447.03,"Cook, Francis and Leblanc",63-2731788,3397.71,14678.04,10577.02
StateFarm,Patrick Higgins,Racheltown,PA,73954,Collision,2024-11-25,Yes,Energy as want civil record newspaper soon process guy music ago before else.,"4978 Tyler Meadow Apt. 315, Lake Tammy, ND 61706",6fee09b8,Side impact,,Knee injury,No,Williamson-Johnson,52-4770373,3091.36,Moore-Aguirre,88-0884170,4612.35,"Hamilton, Baker and Vargas",24-1096510,3940.76,,,0.0,"Cooper, Benson and Foster",80-7711399,2874.19,"Hill, Barron and Anderson",03-6729212,1712.96,,,0.0,Meza-Powell,99-6706213,2175.92,19265.76,13992.7
Allstate,Dennis Williams,West Kennethville,GA,73049,Single vehicle accident,2021-08-25,Yes,Research letter design participant task if ready operation past night everyone sign.,"108 Benjamin Spur, Ramirezton, SD 25202",3ec1437e,Windshield crack,,Other sprain/strain,Yes,,,0.0,Murray Group,82-8129935,4471.85,,,0.0,,,0.0,"Yang, Hernandez and Smith",67-9657072,4741.66,"Banks, Marshall and Scott",99-1124733,3203.98,,,0.0,Beck Inc,37-7427595,1938.32,21128.76,11971.17
Allstate,Alexandra Levy,South Shelbystad,PA,60000,Collision,2022-05-10,No,Executive west movement old door action pull no close since.,"72116 William Plain Apt. 964, Gonzalezmouth, WY 63145",2b0337ff,Rear-end collision,Windshield crack,,Yes,,,0.0,,,0.0,,,0.0,"Moore, Hamilton and Mitchell",25-9269364,3092.67,,,0.0,"Medina, Jordan and Harding",38-5679765,1504.67,"Lyons, Scott and Trujillo",16-7097571,997.61,,,0.0,10565.63,5641.31
StateFarm,Jonathan Walker,Tracyfort,TX,91089,Collision,2024-10-08,No,May exactly them modern wide which nor.,"23402 Felicia Estate, Rodriguezchester, MS 95943",b22cdfea,Front-end collision,Windshield crack,,No,Patton-Shea,39-7938661,2479.03,,,0.0,"Herrera, Randolph and Lester",24-0384053,3961.27,,,0.0,Spencer-Parker,22-8106580,2817.06,"Sawyer, Fleming and Mcbride",86-4604851,2859.43,"Bradford, Henderson and Thornton",63-4233069,1930.27,Hester-Quinn,21-7286244,2404.42,26092.2,17736.28
Geico,Donald Michael,Lake Katie,MI,28628,Hit and run,2020-09-12,Yes,Gas support give loss nice would least summer arm official glass safe.,"472 Walker Mill, Tinachester, MT 28989",0850ceb7,Fender damage,,Fracture,Yes,,,0.0,"Kennedy, Peters and Smith",84-7049996,3521.42,,,0.0,,,0.0,"Henry, Greene and Brooks",40-1080606,3964.99,,,0.0,Murphy-Wheeler,63-0806211,1659.66,Dickerson LLC,11-8886312,2841.18,16501.59,10558.87
Allstate,Zachary Franklin,Sanderschester,FL,75199,Single vehicle accident,2024-11-02,Yes,Speech law term over for increase space series rich.,"02168 White Lane Suite 295, Danamouth, AL 04856",fc7f7f2f,Front-end collision,,Minor cuts,No,Lee LLC,51-0957714,1613.07,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,Davies and Sons,88-9179670,2137.36,,,0.0,5324.2,4756.88
StateFarm,Jessica Franco,Mckayton,GA,11485,Collision,2022-12-03,Yes,Sport security section arrive usually key price woman day.,"9573 Taylor Mews, South Lisa, DC 19947",b92c3420,Rear-end collision,,Bruises,No,Alvarado PLC,98-8917661,1496.39,,,0.0,,,0.0,,,0.0,Robles PLC,36-5899242,1828.86,"Patterson, Lee and Lewis",50-9552354,1767.46,,,0.0,"Daniels, Sutton and Newman",21-4679947,2492.42,15926.01,9324.1
Geico,Jason Turner,North Jeffreystad,IL,05570,Hit and run,2024-10-19,No,Daughter any finish indeed major push exist station.,"293 Nicole Forge, Hortonfurt, ME 31734",a648df93,Front-end collision,,,Yes,"Salas, Ramirez and Harper",64-9863176,1465.63,,,0.0,,,0.0,,,0.0,,,0.0,Williams-Hernandez,37-7188938,2649.65,Harmon and Sons,03-1496557,3196.98,,,0.0,9487.35,6939.06
StateFarm,Andrew Glover,South Richard,GA,69091,Hit and run,2023-05-15,No,Begin follow kitchen night conference nothing physical whether political class serve.,"265 Stewart Knolls, North Moniquemouth, CT 75120",5fb5f072,Fender damage,Windshield crack,,Yes,"Willis, Solomon and Garcia",62-2628021,4740.92,"Hanson, Mcdonald and Williams",34-3447739,1796.03,Murphy PLC,85-1188093,411.32,,,0.0,Smith Group,83-9182384,2657.58,"Johnson, Hayden and Wright",33-5895933,985.39,,,0.0,,,0.0,20255.87,11723.85
Allstate,Nicole Ball,South Jasonshire,MI,46370,Single vehicle accident,2022-02-06,No,Real close behavior choose personal see perhaps store seek.,"315 Morgan Courts, Gregoryfort, OR 91075",c40128e6,Fender damage,Windshield crack,,Yes,,,0.0,"Jordan, Cruz and Mitchell",13-6710497,1345.62,Palmer Ltd,42-1476188,908.03,,,0.0,Macdonald Group,67-3911630,1612.83,Butler Inc,94-3697808,1260.24,Gray Inc,51-1124744,1600.86,,,0.0,13271.45,8755.67
Allstate,Melanie Dickson,East Tyrone,IL,15535,Rear-end collision,2022-12-06,Yes,Chance appear parent I go cultural itself story.,"3048 Bradley Crescent Apt. 122, Lake Daniel, WV 59281",96c70bbf,Rear-end collision,,Disk injury,No,Torres Ltd,36-1406124,3095.91,Brown Inc,73-5439307,2219.45,"Davis, Newman and Lewis",14-8215153,725.86,Martinez-Brown,53-2121719,1777.74,,,0.0,Smith-Perry,31-9109509,2732.82,,,0.0,Haynes-Murillo,30-8171822,3105.26,23095.71,17478.19
Geico,Jeffrey Cameron,Smithland,OH,23897,Hit and run,2022-10-22,No,Time door before industry single feel commercial need run.,"473 Lawson Valleys Apt. 172, Port Jessica, MA 03794",3db8a5aa,Rear-end collision,Side impact,,No,"Kane, Paul and Smith",91-5269148,2523.72,Hanson-Trevino,71-7313915,829.77,,,0.0,,,0.0,,,0.0,,,0.0,Howell LLC,15-8397745,3645.88,,,0.0,9724.06,7993.27
Geico,Victor Quinn,Whitetown,MI,61795,Rear-end collision,2024-03-28,No,Blood agreement early program century strong young television.,"50779 Christopher Views, Port Brenda, MP 09809",95416605,Fender damage,Side impact,,No,,,0.0,,,0.0,,,0.0,Roth LLC,22-9432061,2169.84,,,0.0,Clark PLC,52-4365771,3830.15,,,0.0,Anderson LLC,47-4993049,1241.08,13834.73,6936.48
Geico,Steven Flynn,Andradetown,FL,59532,Collision,2021-07-29,No,Reflect car challenge keep cover south free type.,"3406 Andre Ville, Port Timothy, MA 05853",1e6785bb,Fender damage,Windshield crack,,No,,,0.0,Daniels and Sons,85-6514652,892.89,"Zhang, Doyle and Christensen",84-7351441,1880.62,,,0.0,"Smith, Bates and Wells",05-0433017,1698.08,,,0.0,,,0.0,Hunter Inc,16-4579390,1056.04,8325.88,7188.52
